quote	author
The best way to predict the future is to invent it.	Alan Kay
Life is 10% what happens to us and 90% how we react to it.	Charles R. Swindoll
Your time is limited, so don’t waste it living someone else’s life.	Steve Jobs
You miss 100% of the shots you don’t take.	Wayne Gretzky
Success is not the key to happiness. Happiness is the key to success.	Albert Schweitzer"
